date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
2026-03-25,,,,4,,,GIW,2025
2026-03-25,0.1,0.0442,bmo,4,106242000.0,108417840.0,CGNT,2026
2026-03-25,-0.8,-1.0706,amc,4,420000.0,376225.0,ICU,2025
2026-03-25,,,,4,,,AMEN,2025
2026-03-26,,,,4,,,APXT,2025
2026-03-26,-0.02,-0.4412,amc,4,1024000.0,383265.0,DARE,2025
2026-03-26,,,,4,,,CULL,2025
2026-03-26,-1.52,-1.5708,amc,4,0.0,,DRMA,2025
2026-03-26,2.19,2.0502,bmo,4,248046000.0,247630673.0,LOVE,2026
2026-03-26,-0.09,-7.497,bmo,4,3537000.0,4182000.0,XXII,2025
2026-03-26,-2.6,0.1632,amc,4,7088380.0,4590000.0,BTCS,2025
2026-03-26,,,,4,,,NSTM,2025
2026-03-26,-0.01,-8.2518,amc,4,0.0,0.0,APVO,2025
2026-03-26,,,,4,,,HYNE,2025
2026-03-26,-0.31,-0.2754,amc,4,2792000.0,3261450.0,ACOG,2025
2026-03-26,,,,4,,,GIGM,2025
2026-03-26,,,,4,,,PVCT,2025
2026-03-26,0.35,0.392,bmo,3,,36488286.0,MSIF,2025
2026-03-26,-7.76,-4.7124,bmo,4,496230.0,459000.0,HYPD,2025
2026-03-26,,-0.0354,amc,4,,21816000.0,PET,2025
2026-03-26,,,,4,,,CAAS,2025
2026-03-26,-23.02,-9.6543,amc,4,366183000.0,364803000.0,PIII,2025
2026-03-26,-0.08,-0.0673,amc,4,13348000.0,13273420.0,LSF,2025
2026-03-26,-0.41,-0.051,amc,4,18100000.0,34971975.0,VERI,2025
2026-03-26,,,,4,,,KBON,2025
2026-03-26,,,,4,,,VNJA,2025
2026-03-26,,,,4,,,WELX,2025
2026-03-26,-0.01,-0.0204,amc,4,14724000.0,15034800.0,IRIX,2025
2026-03-26,-0.45,-0.4565,amc,4,0.0,0.0,LBRX,2025
2026-03-26,-0.8,-0.8755,amc,4,0.0,0.0,KYTX,2025
2026-03-26,,,,1,,,AFB,2026
2026-03-26,-0.26,-0.1938,bmo,4,60000.0,1554990.0,CLGN,2025
2026-03-26,-0.11,-0.1479,bmo,4,0.0,0.0,GANX,2025
2026-03-26,,,,4,,,SYPR,2025
2026-03-26,,,,4,,,IINN,2025
2026-03-26,,-0.034,,4,,3264000.0,LINK,2025
2026-03-26,,,,4,,,AONC,2025
2026-03-26,-0.5,-0.5906,amc,4,0.0,0.0,ZNTL,2025
2026-03-26,-0.08,-0.0697,amc,4,24942000.0,25704000.0,SKYX,2025
2026-03-26,0.53,-0.204,amc,4,41300000.0,0.0,SPRO,2025
2026-03-26,-0.72,-0.242,amc,4,1139000.0,295800.0,IMDX,2025
2026-03-26,,-0.6732,amc,4,,1428000.0,RKDA,2025
2026-03-26,-4.0,-0.1836,amc,4,103957000.0,216363930.0,SLND,2025
2026-03-26,0.89,0.1734,amc,4,13094000.0,13515000.0,SNWV,2025
2026-03-26,,,,4,,,CLOQ,2025
2026-03-26,,,,4,,,LHAI,2025
2026-03-26,,-0.2652,amc,4,,0.0,LVTX,2025
2026-03-26,,,,4,,,VTDRF,2025
2026-03-26,,,,4,,,RRACF,2025
